"","date","time","geo_code","crime_category","address"
"349374","06/26/2012","23:35","575-11","Sex Offenses","1100 S ORCHARD ST ,URBANA,IL"
"349630","07/01/2012","20:00","577-05","Sex Offenses","1100 S LANORE DR ,URBANA,IL"
"350075","07/12/2012","14:30","577-05","Sex Offenses","1600 IVANHOE WY ,URBANA,IL"
"350365","07/19/2012","22:00","546-01","Sex Offenses","1200 EUREKA ST ,URBANA,IL"
"350445","07/22/2012","08:46","575-14","Sex Offenses","1 BUSEY ,URBANA,IL"
"350491","07/23/2012","10:46","575-07","Sex Offenses","500 S BUSEY ,URBANA,IL"
"350684","07/28/2012","02:00","547-03","Sex Offenses","1 KERR ,URBANA,IL"
"350890","08/01/2012","16:00","547-02","Sex Offenses","1300 N CUNNINGHAM ,URBANA,IL"
"351663","08/19/2012","08:15","577-10","Sex Offenses","1400 GREENRIDGE DR ,URBANA,IL"
"351904","08/24/2012","00:45","547-03","Sex Offenses","1000 KERR AV ,URBANA,IL"
"352076","08/28/2012","05:00","547-03","Sex Offenses","800 OAKLAND AV ,URBANA,IL"
"352111","08/28/2012","23:31","547-03","Sex Offenses","1000 E KERR AV ,URBANA,IL"
"353646","10/03/2012","19:30","576-12","Sex Offenses","1400 EASTERN DR ,URBANA,IL"
"353722","10/05/2012","02:30","575-02","Sex Offenses","100 S LINCOLN AV ,URBANA,IL"
"354007","10/11/2012","17:00","605-08","Sex Offenses","1300 SILVER ,URBANA,IL"
"354970","11/03/2012","12:00","575-04","Sex Offenses","400 W SPRINGFIELD AVE ,URBANA,IL"
"356400","12/11/2012","14:00","605-03","Sex Offenses","1800 S COTTAGE GROVE AV ,URBANA,IL"
"357126","01/01/2013","00:01","547-03","Sex Offenses","1100 N CUNNINGHAM ,URBANA,IL"
"357338","01/07/2013","15:00","575-06","Sex Offenses","500 S RACE ,URBANA,IL"
"357382","01/08/2013","23:00","546-08","Sex Offenses","1200 W BESLIN ,URBANA,IL"
"358339","02/06/2013","08:00","576-09","Sex Offenses","1000 S RACE ST ,URBANA,IL"
"358816","02/19/2013","15:18","546-07","Sex Offenses","1200 N COLER AVE ,URBANA,IL"
"359503","03/10/2013","09:55","577-11","Sex Offenses","2400 PRAIRIE GREEN DR ,URBANA,IL"
"360089","03/28/2013","02:00","575-03","Sex Offenses","500 W ELM ST ,URBANA,IL"
"360231","04/01/2013","00:25","605-02","Sex Offenses","1700 S VINE ST ,URBANA,IL"
"360234","04/01/2013","00:25","605-02","Sex Offenses","1700 S VINE ST ,URBANA,IL"
"360823","04/17/2013","21:52","576-06","Sex Offenses","300 E ILLINOIS ST ,URBANA,IL"
"360866","04/19/2013","15:00","576-09","Sex Offenses","1000 S RACE ST ,URBANA,IL"
"361293","04/30/2013","18:30","605-04","Sex Offenses","1800 PHILO RD ,URBANA,IL"
"362858","06/10/2013","00:01","577-05","Sex Offenses","1200 S LIERMAN AV ,URBANA,IL"
"363193","06/15/2013","22:00","576-04","Sex Offenses","100 GLOVER AV ,URBANA,IL"
"363840","06/28/2013","15:00","577-07","Sex Offenses","2200 LANTERN HILL DR ,URBANA,IL"
"363880","06/29/2013","01:28","546-11","Sex Offenses","100 W PARK ST ,URBANA,IL"
"364487","07/13/2013","19:00","577-07","Sex Offenses","1 E RAINBOW VIEW DR ,URBANA,IL"
